NO,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q111,Q112,Q113,Q114,Q12,Q13,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,H1,H2,I1,I2,I3,J1,J2,J3,K1,K2,K3,K4
134,1,1,1,1,4,3,2,2,4,2,0,0,1,1,2,2,4,3,2,2,1,2,1,3,4,3,5,5,2,2,6,6,6,6,4,6,2,2,6,1,4,3,2,4,5,6,3,4,4,1
135,2,1,1,1,2,4,1,1,3,1,0,1,1,0,1,1,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
136,2,1,1,1,2,3,2,2,2,2,0,1,1,0,3,1,2,2,3,2,2,4,2,3,4,3,3,4,3,4,4,3,3,4,3,3,4,3,3,3,4,4,4,4,2,4,4,3,4,3
137,2,1,1,1,3,4,2,2,4,1,1,0,1,0,2,1,4,3,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,6,4,5,3,5,4,5,5,4,5,5,6,4,5,5,5,5
138,2,1,1,1,2,4,3,3,3,2,0,0,1,1,1,2,5,5,5,5,5,4,5,5,6,6,6,6,6,6,1,1,1,5,1,1,3,3,2,5,4,4,4,5,5,5,4,4,5,4
139,2,2,1,1,3,4,1,2,2,2,0,1,0,1,1,1,3,3,2,2,2,4,2,3,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
140,2,1,1,1,1,3,2,2,3,1,1,0,1,0,2,1,6,6,6,6,6,3,3,5,5,5,5,5,5,5,4,4,3,5,3,3,5,5,3,3,2,2,2,3,2,3,5,5,4,5
141,1,2,2,1,4,3,2,3,2,1,0,0,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,6,6,6,6
142,2,2,1,1,3,4,2,2,3,1,1,0,1,0,4,1,5,4,4,4,4,4,4,5,5,4,4,5,4,5,3,3,3,3,1,3,4,4,3,4,2,2,1,3,2,2,3,4,3,4
143,2,1,1,1,2,4,3,2,3,3,0,0,1,1,1,2,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,4,4,3,2,2,3,4,3,3,3,3,3,3,2,2,3,3,3,3
144,2,2,2,1,4,4,3,2,4,3,1,0,1,0,1,2,4,4,5,5,5,4,4,4,4,4,5,3,3,3,1,1,1,5,1,1,4,3,3,3,1,1,1,1,1,1,4,4,3,4
145,2,6,2,1,6,4,3,2,4,1,1,0,1,0,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
146,2,2,1,4,4,2,2,2,2,1,1,0,0,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,4,4,4
147,1,1,1,1,1,4,2,1,1,2,0,1,1,0,2,2,5,6,4,5,5,6,4,5,6,4,5,6,5,6,5,5,5,6,5,6,4,5,6,4,4,5,5,3,3,5,6,6,4,1
148,2,2,2,3,4,4,1,1,4,2,0,0,1,1,2,2,2,2,3,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2
149,1,1,1,1,1,4,2,2,4,1,1,0,1,0,2,2,4,5,4,4,4,5,3,4,5,5,5,4,5,5,3,2,2,2,2,2,5,6,3,3,3,3,2,2,2,2,5,5,5,5
150,2,2,1,1,3,4,2,1,3,1,0,0,1,1,2,1,3,3,4,2,3,2,3,2,3,2,2,2,3,3,3,2,1,1,2,2,2,3,2,3,4,5,5,4,3,3,2,3,4,4
151,2,2,2,1,4,4,2,2,4,1,1,0,0,1,1,1,4,4,4,4,4,4,3,4,4,4,4,4,3,4,1,2,6,3,2,2,3,4,3,3,3,3,3,3,3,3,3,4,3,4
152,2,6,4,1,1,3,1,2,4,1,1,0,1,0,2,1,3,3,3,3,3,4,4,4,4,3,4,3,3,4,5,5,5,5,4,3,3,3,5,3,3,4,3,3,3,3,5,4,1,3
153,2,1,1,1,2,3,2,1,2,1,1,0,1,0,1,1,5,5,4,5,4,6,4,5,6,4,6,6,3,4,3,3,5,4,3,4,4,6,3,5,5,3,2,3,3,3,4,5,3,4
154,1,2,1,1,1,3,2,2,1,1,0,0,1,1,2,1,6,6,5,5,4,4,4,5,5,5,6,5,5,6,6,5,5,5,5,4,5,6,5,3,3,2,1,1,2,4,4,4,3,5
155,2,1,1,1,3,4,1,1,1,2,0,0,1,1,1,2,4,4,6,4,4,6,5,6,6,5,6,6,6,6,1,1,1,6,3,3,6,6,4,2,1,1,1,3,3,3,6,6,3,3
156,2,2,1,1,2,4,2,2,2,1,0,0,1,1,2,2,4,4,4,4,4,3,3,4,5,4,5,4,3,4,4,5,5,3,4,2,4,4,3,3,2,2,3,2,2,2,4,4,2,4
157,1,1,1,1,3,4,3,3,3,2,0,0,1,1,2,1,5,5,5,5,5,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,3,3,2,2,3,3,3,2,3,3,4,4,4,4
158,1,6,2,1,7,4,2,1,4,3,0,1,1,0,1,1,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,3,3,3,3,3,4,3,4,3,2,2,4,2,3,4,4,3,3
159,1,1,1,1,2,4,3,2,2,2,0,0,1,1,2,2,4,4,4,5,4,4,4,4,3,3,4,4,3,5,3,4,4,4,3,5,3,3,5,5,4,4,4,4,3,4,4,6,3,3
160,1,1,2,1,4,4,4,3,3,1,1,0,1,0,2,2,5,5,5,5,5,5,5,5,6,6,6,5,5,5,2,2,2,2,2,1,6,6,1,4,3,3,3,1,1,1,4,4,2,2
161,2,1,1,1,2,4,3,2,3,1,0,0,1,1,1,1,4,5,4,4,4,4,3,4,5,4,6,5,4,5,2,2,2,2,2,2,3,3,1,1,2,2,2,2,2,2,4,4,2,4
162,1,6,2,1,7,4,3,2,5,3,0,0,1,1,1,1,5,5,4,4,4,5,4,5,5,4,5,4,4,4,4,4,4,4,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,4
163,1,1,1,1,2,4,2,2,3,1,0,0,1,1,1,1,2,1,4,2,3,1,1,4,6,4,6,2,1,1,1,3,6,2,1,2,4,6,4,3,1,1,2,6,6,6,3,1,1,5
164,2,6,2,1,7,4,5,3,4,3,0,0,1,1,1,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,4,4,3,4,3,3,3,4,4,5,3,3,3,3
165,1,2,1,5,1,3,2,2,2,2,0,0,1,1,2,2,3,2,4,3,3,4,3,5,4,3,4,4,3,4,3,3,3,3,3,3,4,4,3,3,2,3,2,2,2,2,4,4,2,3
166,2,1,1,1,1,4,3,2,2,2,0,0,1,1,4,2,4,4,4,4,4,4,4,5,5,4,5,5,4,5,4,4,4,4,3,3,4,3,4,3,3,3,4,3,4,4,4,4,3,4
167,1,1,1,2,2,3,3,3,2,1,0,0,1,1,2,1,3,5,5,5,5,5,4,5,5,5,5,5,5,5,2,4,4,3,4,3,4,6,2,4,2,2,2,2,2,2,5,5,2,5
168,2,2,2,1,4,4,3,3,3,1,0,0,1,1,4,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3
169,1,1,1,2,3,4,1,1,4,1,0,1,1,0,2,2,4,4,5,5,5,5,5,5,5,5,5,5,4,5,3,3,3,3,3,3,4,4,3,3,4,4,4,3,3,3,4,4,3,4
170,1,2,1,2,2,4,1,2,2,1,0,0,1,1,1,2,4,3,4,4,3,5,4,5,5,5,5,5,5,5,3,3,4,2,2,2,5,5,3,5,2,2,2,2,2,2,4,5,2,4
171,2,1,1,1,1,3,2,1,3,2,1,0,1,0,2,2,4,4,3,6,6,6,6,6,5,6,6,6,5,6,6,6,6,4,4,4,6,6,3,4,5,6,4,2,3,2,6,6,2,6
172,2,1,1,1,2,4,3,3,2,1,0,0,1,1,1,1,4,4,5,4,4,4,5,5,5,5,5,5,5,4,1,1,1,2,2,2,4,4,4,4,5,5,5,5,3,5,4,4,4,4
173,2,1,1,1,2,4,2,2,3,3,1,0,1,0,1,2,5,4,5,5,5,4,4,5,5,5,6,6,5,5,5,5,5,5,4,4,5,5,4,3,5,4,4,5,4,4,5,5,5,5
174,1,1,1,1,2,4,1,1,2,3,0,1,1,0,1,1,6,6,3,6,6,2,1,3,6,4,6,2,3,6,6,6,6,6,2,3,2,6,6,2,6,6,1,1,1,4,6,6,1,6
175,2,1,1,1,2,4,2,2,2,2,1,0,0,1,2,1,5,5,4,5,5,4,3,4,5,4,5,4,4,4,3,4,4,3,3,3,3,5,3,3,3,3,3,4,2,2,4,4,2,4
176,1,1,1,1,1,4,3,3,3,3,0,0,1,1,2,2,5,4,5,5,4,4,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,5,4,5,3,5,5,6,4,5,5,6
177,2,2,1,3,1,4,1,2,3,2,0,0,1,1,2,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,4,4,3,3,2,2,2,2,2,2,3,3,3,3
178,2,2,1,1,3,4,2,2,2,1,1,0,1,0,2,1,5,5,4,5,4,6,6,6,5,6,5,5,5,5,3,4,4,4,4,4,5,4,4,4,1,1,1,1,1,1,4,4,2,5
179,2,1,1,1,2,4,1,2,2,3,1,0,0,1,1,1,5,5,5,5,5,5,5,5,6,4,5,3,3,4,6,6,6,6,6,6,6,6,3,6,3,3,3,3,3,3,5,5,4,5
180,1,1,1,1,3,4,2,2,3,2,0,1,0,1,1,2,5,5,5,6,6,6,5,5,6,5,6,5,4,5,4,4,4,3,3,2,5,5,2,4,2,2,2,2,2,2,4,5,4,5
181,2,1,1,1,2,4,3,2,3,3,0,1,1,0,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4
182,2,2,1,1,3,4,3,2,2,1,0,0,1,1,1,1,3,2,3,3,4,4,3,4,1,3,4,4,4,4,1,1,1,1,1,1,3,3,2,3,3,2,2,2,2,2,3,3,3,3
183,2,1,1,1,1,4,2,2,3,1,1,1,0,0,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,4,3,4
184,1,1,1,1,1,3,2,2,2,1,0,0,1,1,2,2,4,4,4,4,4,3,2,4,5,4,4,4,3,4,4,4,5,5,1,5,4,4,4,3,3,3,4,2,4,5,4,5,4,3
185,1,2,1,1,2,4,2,2,2,2,0,1,0,1,1,2,3,4,3,4,5,5,4,5,4,3,4,4,5,4,4,3,4,4,5,4,4,3,4,4,3,2,4,3,4,5,5,4,4,4
186,2,2,1,1,3,4,2,1,4,1,1,0,1,0,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,2,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3
187,1,1,1,3,3,4,3,2,3,2,0,0,1,1,2,1,3,3,4,4,4,4,3,4,5,4,5,5,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,4,3,3,4,5,4,4
188,1,1,1,1,3,3,2,1,4,2,1,0,1,0,2,2,5,4,5,5,4,5,4,6,5,5,5,6,4,6,6,4,5,5,4,6,5,4,6,5,5,5,5,6,5,6,5,4,5,4
189,1,2,1,1,3,4,2,2,2,1,0,0,1,1,1,2,3,4,4,3,4,4,2,4,4,5,4,4,3,4,4,5,4,3,2,2,4,4,3,3,3,2,2,3,2,2,4,3,2,4
190,1,2,1,1,3,4,2,2,2,1,0,0,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,4,4,4,5,4,4,4,4,4,4
191,1,1,1,1,1,4,2,2,3,1,0,0,1,1,2,2,4,4,4,5,4,5,4,5,5,4,5,5,4,5,1,1,1,2,2,2,6,6,2,4,2,1,3,1,1,1,4,4,4,4
192,1,1,1,1,1,4,3,2,2,2,1,0,1,0,1,2,4,4,4,5,5,5,4,5,5,5,5,5,4,4,2,3,3,3,2,2,3,5,3,3,2,2,2,3,2,2,3,4,3,4
193,2,1,1,1,2,4,1,2,1,2,0,1,0,1,2,1,5,5,5,5,5,6,5,6,5,5,5,6,5,5,1,1,1,1,1,1,5,5,2,5,2,2,2,1,1,1,5,5,4,5
194,2,1,1,6,2,4,3,3,2,1,0,0,1,1,1,2,2,2,3,3,3,2,2,2,4,4,4,3,3,3,2,2,2,3,3,3,3,3,3,2,3,3,2,2,2,2,4,4,3,3
195,2,3,2,1,5,4,2,2,3,1,1,0,1,0,2,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,3,3,2,2,2,2,2,2,4,4,4,4
196,2,4,2,1,5,2,4,4,3,2,1,0,1,0,1,1,4,5,4,5,5,4,4,4,4,4,6,4,4,4,3,3,3,4,1,1,3,5,3,3,2,2,2,1,1,1,4,4,1,5
197,2,2,2,1,4,4,2,2,2,2,0,0,1,1,1,1,5,5,5,5,5,5,4,3,4,5,6,4,4,3,4,4,4,6,3,3,6,6,5,3,1,1,1,1,1,1,4,4,4,4
198,1,1,1,1,3,4,3,2,3,1,0,1,0,1,1,2,3,3,3,4,4,4,3,4,5,4,4,4,4,5,3,3,3,2,3,3,4,4,4,4,4,3,4,3,3,3,4,4,4,4
199,2,1,1,1,3,4,2,2,1,1,0,0,1,1,2,2,5,5,5,5,5,4,4,5,6,5,5,4,4,4,3,4,4,3,3,3,4,6,4,3,4,3,3,3,3,3,4,4,3,5
200,2,5,4,4,3,2,3,5,3,1,1,0,1,0,2,1,3,3,3,4,4,4,3,5,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,2,4,2,2,4,4,3,3
201,1,2,1,1,1,3,2,2,3,3,1,0,1,0,2,2,3,3,3,3,3,4,3,5,5,4,5,4,4,4,5,4,5,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
202,1,1,1,1,2,3,1,1,3,1,0,0,1,1,2,2,4,4,5,3,4,5,6,5,5,6,5,5,6,6,5,4,5,6,5,4,5,6,5,6,6,5,4,5,5,6,6,5,3,6
203,1,2,1,1,1,4,2,2,1,2,0,0,1,1,1,2,4,5,3,4,5,4,1,2,5,4,4,4,4,5,6,6,6,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4
204,1,1,1,3,1,3,3,3,3,3,0,1,1,0,2,1,5,5,4,5,5,4,4,4,4,5,5,5,4,5,3,3,3,4,3,4,4,4,4,3,2,2,2,1,1,3,3,4,2,4
205,2,2,1,3,1,4,2,2,2,2,0,0,1,1,4,1,6,6,6,6,6,4,3,4,5,4,5,5,5,6,4,5,4,6,3,3,4,4,4,5,4,4,4,4,4,4,5,5,5,5
206,2,1,1,1,2,1,2,2,1,2,0,0,1,1,1,2,5,3,5,5,5,3,2,2,5,3,5,5,3,5,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,4,3,4,2,4
207,2,2,1,1,1,4,2,2,4,3,0,0,1,1,2,1,3,3,4,4,4,3,3,4,3,3,4,4,3,4,3,3,4,1,1,1,3,6,2,3,1,1,1,1,3,3,4,2,1,4
208,1,1,1,4,3,3,3,2,2,1,1,0,0,1,2,1,5,5,4,4,4,1,1,1,4,3,5,3,3,4,1,2,2,2,2,2,5,5,2,5,2,2,2,1,1,2,4,5,2,4
209,2,2,1,4,1,4,1,1,2,4,0,0,1,1,4,1,4,4,4,5,4,4,3,4,4,4,4,3,3,4,3,2,1,3,3,2,2,2,2,3,3,3,3,2,2,2,4,4,2,4
210,2,2,1,4,1,4,2,1,2,3,0,0,1,1,2,2,4,3,3,4,3,4,3,4,4,4,4,4,3,5,1,3,2,1,1,1,6,6,1,5,1,1,1,1,1,1,6,1,2,5
211,2,1,1,4,1,3,2,2,3,3,1,0,1,0,2,2,5,5,5,5,5,6,4,5,6,6,6,5,3,4,2,1,2,2,1,1,5,5,1,4,1,1,1,4,3,2,5,5,2,5
212,1,2,1,1,3,4,2,1,3,1,0,0,1,1,2,2,3,5,5,5,3,2,2,2,5,3,3,3,3,5,5,5,5,2,2,3,3,1,3,3,2,3,2,5,2,2,3,3,1,4
213,2,1,1,4,1,4,3,3,3,3,0,0,1,1,2,2,4,4,5,5,5,5,4,6,5,4,5,3,3,3,1,1,1,1,1,1,6,6,2,2,2,4,2,1,1,2,3,4,3,4
214,2,1,1,4,2,4,3,2,2,1,0,0,1,1,2,2,3,3,4,5,5,5,4,5,5,5,5,5,4,5,2,2,2,2,2,2,5,5,1,4,2,2,2,2,2,2,5,5,1,5
215,1,1,1,1,1,4,2,1,5,1,1,0,1,0,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,5,2,5,4,3,3,5,5,5,5,5,3,5
216,2,1,1,1,1,4,2,2,2,2,1,0,1,0,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
217,1,2,1,1,1,4,1,1,4,3,1,0,1,0,2,2,3,3,1,1,4,1,1,2,3,2,3,3,3,4,6,6,6,5,3,5,3,1,5,2,3,5,4,5,2,4,3,3,1,1
218,1,1,1,1,1,3,1,1,4,3,1,0,1,0,2,2,4,4,1,1,4,4,4,4,4,4,4,5,4,4,2,3,4,4,3,3,4,3,4,4,4,4,2,4,4,4,4,4,2,4
219,1,1,1,1,1,3,2,2,2,1,1,0,1,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
220,1,3,2,1,4,4,1,1,4,1,1,0,1,0,2,2,4,3,4,3,3,3,4,3,4,4,4,3,4,3,3,4,3,3,3,3,4,4,4,4,3,3,3,4,3,3,4,3,3,4
221,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2,2,2,3,4,3,3,3,2,3,3,2,4,3,2,2,1,4,4,3,4,3,1,1,1,1,2,2,2,3,4,5
222,1,2,1,1,3,4,3,3,3,1,0,1,1,0,3,1,2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,3,4,3,4,3,4,3,4,2,3,3,3,4,3,4,3,4,4
223,1,2,1,1,3,4,3,2,3,1,0,0,1,1,2,2,4,4,4,3,4,3,2,4,5,4,5,5,3,5,4,4,5,3,4,3,5,5,4,4,4,6,4,5,4,4,3,3,3,4
224,1,4,2,1,4,4,2,1,4,2,0,1,1,0,2,2,4,4,4,4,4,5,5,5,4,5,4,5,5,4,4,4,5,4,2,2,5,5,4,4,2,2,2,4,2,2,4,4,2,4
225,2,1,1,1,1,4,2,2,1,1,0,0,1,1,2,2,5,5,5,5,6,5,4,5,5,5,5,5,6,6,2,2,2,3,1,1,5,5,2,4,2,1,1,2,2,2,4,5,3,6
226,1,2,1,1,3,4,2,2,4,1,0,0,1,1,2,1,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,2,4,4,6,6,5,5,6,6,5,5,6,6,5,5
227,1,2,1,1,3,4,3,2,3,1,0,0,1,1,2,1,3,4,4,3,4,3,2,2,4,3,5,4,3,4,3,3,3,3,2,2,3,6,3,2,3,2,2,2,2,3,3,4,2,3
228,1,1,1,1,2,4,2,2,2,1,0,1,0,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
229,1,1,1,1,3,4,3,2,1,1,0,0,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,6,6,4,4,2,2,4,2,4,5,1,4
230,1,1,1,1,1,1,1,1,1,4,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
231,2,6,2,1,4,3,1,2,3,1,0,1,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,3,3,3,2,2,6,6,2,6,1,1,2,2,2,2,6,6,6,6
232,1,2,1,1,3,4,2,2,3,1,1,0,1,0,1,1,4,4,4,4,4,6,4,6,5,5,5,5,5,4,5,5,5,5,4,5,5,6,5,6,5,4,5,5,6,5,5,4,5,4
233,2,1,1,1,1,4,2,2,3,1,0,0,1,1,2,1,6,6,5,5,6,4,4,5,5,5,6,5,6,4,5,4,5,6,3,2,6,6,5,3,2,2,1,2,2,4,4,5,1,6
234,1,1,1,3,3,3,3,2,2,1,0,0,1,1,2,2,3,3,3,3,3,3,3,5,4,3,3,4,4,4,3,2,2,2,2,2,4,4,3,4,1,1,1,1,1,1,4,4,3,4
235,1,1,1,1,3,4,3,2,3,2,0,0,1,1,1,1,4,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,5,5,3,3,3,3,4,3,3,3,4,5,3,5
236,1,2,2,1,6,4,2,2,4,2,0,0,1,1,2,2,3,3,3,3,3,4,3,3,4,3,4,3,3,4,5,5,5,5,5,5,3,3,5,2,3,3,3,3,3,5,3,3,3,3
237,1,1,1,1,4,4,2,2,2,2,0,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,4,4,4,3
238,2,2,1,1,3,4,1,2,3,1,0,0,1,1,2,1,4,5,5,4,5,4,2,3,4,3,4,4,5,5,4,5,5,5,3,5,3,5,2,3,3,4,2,4,3,4,5,4,5,6
239,2,5,4,1,1,4,3,2,3,1,0,1,1,0,2,1,4,4,4,4,5,5,4,5,4,4,5,4,4,4,4,4,4,4,1,2,4,4,4,4,3,3,3,3,1,2,4,5,4,4
240,2,6,2,1,3,4,2,2,6,2,1,0,1,0,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,3,5,3,3,3,3,3
241,2,3,3,3,4,3,3,1,4,2,0,0,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,3,3,3,3,3,4,4,4,6
242,2,1,1,1,3,4,1,1,4,3,1,0,0,1,1,2,4,3,4,4,5,4,3,4,5,4,4,3,3,5,3,3,5,4,2,2,2,4,3,3,3,4,3,2,3,3,3,3,2,3
243,1,4,2,1,6,4,4,5,4,1,0,1,1,0,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
244,2,4,4,1,6,4,2,3,4,1,0,0,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5,2,5,2,2,2,2,2,2,5,5,5,5
245,1,1,1,1,1,3,2,2,3,3,0,0,1,1,1,2,4,4,4,4,4,5,4,4,5,4,4,6,3,5,3,3,3,4,2,2,5,6,3,3,3,3,3,2,3,3,4,4,3,5
246,2,1,1,1,1,3,1,1,1,2,0,0,1,1,1,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,5,1,1,1,5,6,2,5,1,1,1,3,2,1,4,4,3,5
247,2,6,2,1,3,4,2,2,4,2,0,1,1,0,2,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,2,2,3,3,3,3,1,1,1,1,1,1,4,4,4,4
248,2,1,1,1,1,4,1,2,2,2,0,0,1,1,1,2,5,6,6,6,6,6,3,5,4,4,6,3,3,4,3,6,3,3,1,1,4,5,2,4,4,3,1,2,1,1,4,4,1,3
249,2,2,1,1,2,4,3,3,3,1,1,0,1,0,1,1,4,3,3,3,4,4,3,4,4,3,4,4,3,4,3,3,4,3,2,3,2,3,3,2,2,2,2,2,2,2,3,3,1,2
250,2,2,1,1,1,4,1,2,3,3,0,0,1,1,1,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,4,4,4,5,3,4,4,3,4,3,3,4,3,4,3,3,3,3,3,3
251,1,1,1,1,1,4,2,2,2,1,0,0,1,1,1,1,5,5,6,6,6,6,4,6,6,4,6,4,3,4,4,5,4,4,2,3,5,5,4,3,4,3,3,3,1,2,4,5,3,5
252,2,1,1,1,1,4,2,3,3,2,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
253,2,1,1,1,2,4,1,2,1,1,0,0,1,1,1,1,3,3,4,4,4,5,4,6,4,4,4,4,4,4,3,3,3,3,3,2,4,6,3,4,3,3,3,3,2,2,4,5,2,4
254,2,1,1,1,2,4,2,2,3,2,1,0,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
255,2,6,2,1,4,3,3,2,4,2,1,0,1,0,2,1,4,4,4,4,4,5,3,5,4,4,5,5,5,5,3,3,3,4,4,4,4,4,3,3,2,2,2,3,3,3,3,3,3,3
256,2,1,1,1,1,4,2,2,2,1,1,0,1,0,1,1,5,5,4,5,5,4,4,4,5,5,5,5,4,5,3,4,4,3,2,2,5,6,3,5,3,2,2,3,4,4,4,5,3,5
257,2,2,1,1,1,3,2,2,3,3,1,0,1,0,1,1,5,5,4,5,5,4,4,4,5,5,5,5,5,5,3,3,5,5,4,5,5,5,4,3,4,4,5,4,3,4,5,5,5,5
258,1,1,1,1,2,4,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,2,2,2,2,2,2,1,2,2,1,2,3,2,2
259,2,1,1,1,2,4,2,2,3,1,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,3,3,3,2,2,3,3,3,3,2,2,2,1,2,2,1,3
260,2,1,1,1,3,4,3,2,3,2,1,0,1,0,2,2,4,3,4,3,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,5
261,2,1,1,1,1,1,3,2,3,1,1,0,0,1,1,1,6,6,6,6,6,6,6,6,6,5,6,5,5,5,1,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,5,5,5,5
262,2,2,1,1,3,4,2,1,3,2,0,1,0,1,1,2,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4
263,2,1,1,1,3,4,1,1,5,2,0,0,1,1,1,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
264,2,1,1,1,3,4,3,1,2,2,0,0,1,1,1,2,3,3,3,3,3,3,3,3,5,4,5,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
265,1,2,1,1,3,4,3,2,4,1,1,0,1,0,2,1,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,3,6,5,3,4,4,3,4,5,3,4,4,4,3,5,3,4,3,4
266,2,1,1,1,1,3,2,2,2,2,0,0,1,1,2,1,3,3,3,3,3,5,3,3,3,4,4,3,3,3,3,4,3,6,3,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3
267,2,1,1,1,2,4,2,2,3,1,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
268,1,2,2,1,4,4,2,3,4,1,0,1,1,0,2,2,3,4,3,2,3,4,3,5,3,6,4,4,5,3,3,2,5,3,6,5,4,3,4,2,1,3,2,2,1,3,6,4,3,5
