station,date,item,area,month,season,population,item_percent_ppm,sum_RAINFALL,max_AMB_TEMP,mean_AMB_TEMP,max_PM2_5,mean_PM2_5,max_RH,mean_RH,max_O3,mean_O3,max_NO,mean_NO
仁武區,2023-06-28,1.0,1,6,夏季,96353,10.378504042427325,23.5,31.9,28.770833333333332,31.0,17.5,93.0,87.625,68.2,22.183333333333334,18.2,4.333333333333333
仁武區,2023-06-30,1.0,1,6,夏季,96353,10.378504042427325,0.0,33.4,30.983333333333334,14.0,6.125,87.0,70.20833333333333,25.6,15.700000000000001,5.0,1.6791666666666665
仁武區,2023-08-12,1.0,1,8,夏季,96808,10.329724816130899,17.5,32.9,29.4375,12.0,7.666666666666667,99.0,80.58333333333333,38.7,19.837500000000002,3.5,1.4875
仁武區,2023-08-23,1.0,1,8,夏季,96808,10.329724816130899,0.0,32.3,29.883333333333336,15.0,5.833333333333333,91.0,77.0,34.5,20.05,11.1,2.2666666666666666
仁武區,2023-08-26,1.0,1,8,夏季,96808,10.329724816130899,0.5,32.2,28.9875,16.0,10.791666666666666,93.0,80.08333333333333,74.0,34.579166666666666,4.9,0.8541666666666666
仁武區,2023-09-03,1.0,1,9,秋季,97008,10.308428170872505,113.0,28.6,27.3625,16.0,9.125,100.0,95.66666666666667,31.5,18.662499999999998,3.1,1.9000000000000001
仁武區,2023-09-05,1.0,1,9,秋季,97008,10.308428170872505,13.5,30.6,28.150000000000002,16.0,6.875,100.0,93.04166666666667,39.6,27.224999999999998,4.1,1.0208333333333333
仁武區,2023-09-14,1.0,1,9,秋季,97008,10.308428170872505,0.0,30.6,28.599999999999998,27.0,17.0,93.0,80.45833333333333,83.2,36.354166666666664,5.9,0.9458333333333333
仁武區,2023-09-18,1.0,1,9,秋季,97008,10.308428170872505,0.0,32.6,29.3875,32.0,15.26086956521739,93.0,74.70833333333333,69.8,28.224999999999998,7.8,1.5043478260869565
仁武區,2023-09-20,1.0,1,9,秋季,97008,10.308428170872505,0.0,32.0,29.541666666666668,20.0,12.583333333333334,88.0,71.29166666666667,57.5,39.42916666666667,4.4,1.925
仁武區,2023-10-02,1.0,1,10,秋季,97155,10.292831043178426,0.0,32.3,29.45,26.0,15.958333333333334,89.0,73.70833333333333,79.6,40.44583333333333,6.7,1.2708333333333333
仁武區,2023-10-03,1.0,1,10,秋季,97155,10.292831043178426,0.0,32.5,28.170833333333334,22.0,13.956521739130435,88.0,64.54166666666667,76.4,39.516666666666666,5.1,1.5458333333333334
仁武區,2023-10-05,1.0,1,10,秋季,97155,10.292831043178426,0.0,29.9,27.849999999999998,12.0,3.875,88.0,80.45833333333333,48.1,42.21666666666667,1.7,0.6375000000000001
仁武區,2023-10-06,1.0,1,10,秋季,97155,10.292831043178426,22.5,28.8,26.075,13.0,4.166666666666667,96.0,85.33333333333333,39.8,22.170833333333334,21.9,2.891666666666666
仁武區,2023-10-12,1.0,1,10,秋季,97155,10.292831043178426,0.0,30.2,27.2,30.0,16.956521739130434,86.0,70.75,87.4,40.404347826086955,15.0,2.634782608695652
仁武區,2023-10-14,1.0,1,10,秋季,97155,10.292831043178426,0.0,29.6,27.462500000000002,29.0,19.0,90.0,74.0,83.4,49.85,5.5,1.3791666666666667
仁武區,2023-10-18,1.0,1,10,秋季,97155,10.292831043178426,0.0,29.6,27.075,50.0,27.5,91.0,70.95833333333333,73.3,43.291666666666664,10.3,2.075
仁武區,2023-10-19,1.0,1,10,秋季,97155,10.292831043178426,0.0,29.7,27.525000000000002,47.0,28.73913043478261,87.0,67.04166666666667,88.5,47.51304347826087,5.1,1.26
仁武區,2023-10-22,1.0,1,10,秋季,97155,10.292831043178426,0.0,29.1,27.116666666666664,28.0,17.291666666666668,86.0,71.08333333333333,68.2,41.94166666666667,1.7,0.7958333333333334
仁武區,2023-10-24,1.0,1,10,秋季,97155,10.292831043178426,0.0,30.3,27.495833333333334,29.0,19.772727272727273,92.0,78.16666666666667,64.3,36.54761904761905,6.3,1.808695652173913
仁武區,2023-10-25,1.0,1,10,秋季,97155,10.292831043178426,0.0,29.3,27.708333333333332,43.0,28.375,90.0,75.91666666666667,78.9,44.583333333333336,10.6,2.2416666666666667
仁武區,2023-10-27,1.0,1,10,秋季,97155,10.292831043178426,0.0,28.6,26.729166666666668,27.0,18.208333333333332,89.0,73.70833333333333,59.7,38.887499999999996,8.2,1.4045454545454545
仁武區,2023-10-30,1.0,1,10,秋季,97155,10.292831043178426,0.0,30.2,26.291666666666668,27.0,16.75,88.0,69.41666666666667,76.1,34.53333333333333,11.4,2.0875
仁武區,2023-10-31,1.0,1,10,秋季,97155,10.292831043178426,0.0,28.9,26.395833333333332,24.0,14.791666666666666,90.0,67.20833333333333,88.1,41.6,6.6,1.5041666666666667
仁武區,2023-11-02,2.0,1,11,秋季,97261,20.56322678154656,0.0,29.5,26.629166666666666,32.0,20.041666666666668,91.0,73.41666666666667,92.6,42.791666666666664,4.2,0.9291666666666667
仁武區,2023-11-05,2.0,1,11,秋季,97261,20.56322678154656,0.0,30.7,27.3,40.0,26.0,86.0,62.916666666666664,106.6,55.3125,1.4,0.29583333333333334
仁武區,2023-11-09,1.0,1,11,秋季,97261,10.28161339077328,0.0,29.8,27.22083333333333,38.0,26.416666666666668,83.0,73.41666666666667,76.9,44.762499999999996,6.8,1.3875
仁武區,2023-11-10,1.0,1,11,秋季,97261,10.28161339077328,0.0,32.1,28.420833333333334,45.0,26.666666666666668,84.0,69.5,91.2,38.55833333333333,14.1,2.625
仁武區,2023-11-12,3.0,1,11,秋季,97261,30.844840172319845,0.0,35.52,30.669999999999998,31.2,22.1,103.2,88.10000000000001,66.4,30.95,3.7,1.5250000000000001
仁武區,2023-11-15,1.0,1,11,秋季,97261,10.28161339077328,0.0,27.4,24.254166666666666,43.0,20.391304347826086,82.0,72.08333333333333,70.0,36.19583333333333,16.9,3.5208333333333335
仁武區,2023-11-17,3.0,1,11,秋季,97261,30.844840172319845,0.0,29.04,24.865000000000002,36.0,21.549999999999997,87.6,71.75,64.0,38.125,5.6,2.4
仁武區,2023-11-20,2.0,1,11,秋季,97261,20.56322678154656,0.0,25.9,22.325,33.0,22.291666666666668,78.0,62.75,68.1,40.09583333333333,11.1,2.1458333333333335
仁武區,2023-11-21,2.0,1,11,秋季,97261,20.56322678154656,0.0,27.2,23.175,40.0,20.347826086956523,79.0,63.25,67.0,36.74090909090909,15.4,1.6208333333333333
仁武區,2023-11-23,3.0,1,11,秋季,97261,30.844840172319845,0.0,32.64,28.15,45.6,25.05,96.0,77.1,91.4,43.645833333333336,14.1,2.817391304347826
仁武區,2023-11-25,1.0,1,11,秋季,97261,10.28161339077328,0.0,26.2,22.991666666666664,48.0,28.75,81.0,68.04166666666667,66.8,36.425000000000004,23.2,3.841666666666667
仁武區,2023-11-29,1.0,1,11,秋季,97261,10.28161339077328,0.0,27.8,25.537499999999998,46.0,29.73913043478261,82.0,68.58333333333333,65.4,38.49166666666667,18.6,2.5791666666666666
仁武區,2023-12-01,1.0,1,12,冬季,97337,10.273585584104708,0.0,26.0,22.599999999999998,41.0,28.791666666666668,81.0,74.20833333333333,60.6,19.945833333333333,17.2,3.829166666666667
仁武區,2023-12-03,1.0,1,12,冬季,97337,10.273585584104708,0.0,25.9,22.425,43.0,30.333333333333332,82.0,74.33333333333333,62.4,26.599999999999998,6.2,1.1624999999999999
仁武區,2023-12-06,1.0,1,12,冬季,97337,10.273585584104708,0.0,26.8,22.8125,32.0,22.125,80.0,72.04166666666667,51.1,24.441666666666666,8.5,2.225
仁武區,2023-12-07,1.0,1,12,冬季,97337,10.273585584104708,0.0,26.2,22.741666666666664,35.0,20.916666666666668,80.0,66.16666666666667,60.3,31.0625,26.5,3.6875
仁武區,2023-12-10,1.0,1,12,冬季,97337,10.273585584104708,0.0,29.3,25.983333333333334,49.0,29.583333333333332,81.0,69.70833333333333,87.0,42.775,4.3,0.7541666666666668
仁武區,2023-12-12,2.0,1,12,冬季,97337,20.547171168209417,0.0,29.7,26.191666666666666,48.0,28.458333333333332,86.0,77.91666666666667,64.6,24.266666666666666,20.2,5.166666666666667
仁武區,2023-12-14,1.0,1,12,冬季,97337,10.273585584104708,0.0,27.3,24.34166666666667,69.0,34.916666666666664,90.0,81.125,82.0,28.47083333333333,24.4,4.5
仁武區,2023-12-18,1.0,1,12,冬季,97337,10.273585584104708,0.0,25.5,21.220833333333335,29.0,19.434782608695652,83.0,70.125,59.4,20.98695652173913,31.6,5.673913043478261
仁武區,2023-12-19,2.0,1,12,冬季,97337,20.547171168209417,0.0,26.9,22.520833333333332,24.0,18.833333333333332,87.0,76.0,54.5,21.458333333333332,7.0,1.5083333333333335
仁武區,2023-12-21,2.0,1,12,冬季,97337,20.547171168209417,0.0,18.4,16.520833333333332,29.0,16.0,81.0,74.58333333333333,23.1,16.382608695652173,8.4,3.0217391304347827
仁武區,2023-12-23,2.0,1,12,冬季,97337,20.547171168209417,0.0,19.8,17.616666666666667,46.0,32.791666666666664,81.0,70.125,33.1,12.125,40.7,9.15
前金區,2023-07-26,1.0,2,7,夏季,26972,37.07548568886252,11.0,35.64,33.964999999999996,32.4,15.02608695652174,114.0,110.19999999999999,39.2,12.883333333333333,17.6,4.3909090909090915
前金區,2023-09-14,1.0,2,9,秋季,27033,36.991824806717716,0.0,36.96,35.025,37.199999999999996,18.991304347826084,109.2,97.6,79.4,38.44347826086957,3.4,0.9181818181818181
前金區,2023-09-26,1.0,2,9,秋季,27033,36.991824806717716,0.0,38.4,35.945,21.599999999999998,14.8,116.39999999999999,101.49999999999999,47.7,30.7,4.1,0.6166666666666667
前金區,2023-10-05,1.0,2,10,秋季,27053,36.964477137470894,0.0,36.12,33.794999999999995,20.4,10.2,108.0,98.85,45.9,41.512499999999996,0.9,0.6625
前金區,2023-10-10,1.0,2,10,秋季,27053,36.964477137470894,0.0,36.12,34.14,37.199999999999996,19.8,117.6,102.55,76.7,43.22083333333333,2.0,0.9291666666666667
前金區,2023-10-12,2.0,2,10,秋季,27053,73.92895427494179,0.0,36.96,33.489999999999995,34.8,20.0,102.0,93.1,87.9,46.275,7.2,1.2458333333333333
前金區,2023-10-15,2.0,2,10,秋季,27053,73.92895427494179,0.0,36.36,33.614999999999995,44.4,29.0,109.2,94.5,77.7,50.39166666666667,2.1,0.8374999999999999
前金區,2023-10-16,3.0,2,10,秋季,27053,110.89343141241267,0.0,35.4,32.62,54.0,40.9,105.6,92.7,65.9,42.791666666666664,5.2,1.3375000000000001
前金區,2023-10-17,1.0,2,10,秋季,27053,36.964477137470894,0.0,34.8,32.739999999999995,68.39999999999999,42.0,104.39999999999999,97.6,78.7,40.1,6.7,1.2478260869565216
前金區,2023-10-18,2.0,2,10,秋季,27053,73.92895427494179,0.0,36.12,33.225,72.0,42.65,105.6,93.39999999999999,71.8,47.270833333333336,6.5,1.6208333333333333
前金區,2023-10-19,2.0,2,10,秋季,27053,73.92895427494179,0.0,36.96,33.678260869565214,58.8,34.15,102.0,87.75652173913043,90.7,49.50434782608695,2.8,0.8708333333333332
