發病日,居住縣市,居住鄉鎮,確定病例數
2023-07-16,台南市,仁德區,3
2023-07-16,台南市,南區,1
2023-07-16,台南市,安南區,2
2023-07-16,台南市,東區,4
2023-07-16,台南市,永康區,6
2023-07-16,雲林縣,古坑鄉,5
2023-07-17,台中市,西區,1
2023-07-17,台南市,仁德區,3
2023-07-17,台南市,北區,1
2023-07-17,台南市,東區,9
2023-07-17,台南市,永康區,10
2023-07-17,雲林縣,古坑鄉,1
2023-07-17,雲林縣,林內鄉,1
2023-07-17,高雄市,苓雅區,1
2023-07-18,台南市,仁德區,5
2023-07-18,台南市,安南區,1
2023-07-18,台南市,東區,3
2023-07-18,台南市,永康區,13
2023-07-18,雲林縣,古坑鄉,3
2023-07-18,雲林縣,斗六市,1
2023-07-18,高雄市,前鎮區,1
2023-07-19,台南市,仁德區,5
2023-07-19,台南市,南區,1
2023-07-19,台南市,安南區,1
2023-07-19,台南市,東區,7
2023-07-19,台南市,永康區,7
2023-07-19,雲林縣,古坑鄉,2
2023-07-20,台南市,仁德區,3
2023-07-20,台南市,安南區,2
2023-07-20,台南市,東區,8
2023-07-20,台南市,歸仁區,1
2023-07-20,台南市,永康區,19
2023-07-20,雲林縣,古坑鄉,6
2023-07-21,台南市,仁德區,4
2023-07-21,台南市,北區,3
2023-07-21,台南市,南區,2
2023-07-21,台南市,安南區,3
2023-07-21,台南市,新化區,1
2023-07-21,台南市,東區,10
2023-07-21,台南市,歸仁區,2
2023-07-21,台南市,永康區,18
2023-07-21,雲林縣,古坑鄉,1
2023-07-21,高雄市,路竹區,1
2023-07-22,台南市,北區,1
2023-07-22,台南市,南區,1
2023-07-22,台南市,安南區,6
2023-07-22,台南市,東區,5
2023-07-22,台南市,永康區,8
2023-07-22,雲林縣,古坑鄉,4
2023-07-22,高雄市,前鎮區,1
2023-07-22,高雄市,梓官區,1
2023-07-23,南投縣,竹山鎮,2
2023-07-23,台南市,仁德區,4
2023-07-23,台南市,北區,1
2023-07-23,台南市,安南區,3
2023-07-23,台南市,東區,2
2023-07-23,台南市,柳營區,1
2023-07-23,台南市,永康區,9
2023-07-23,雲林縣,古坑鄉,1
2023-07-23,高雄市,三民區,1
2023-07-23,高雄市,茄萣區,1
2023-07-24,台南市,仁德區,2
2023-07-24,台南市,北區,5
2023-07-24,台南市,安南區,1
2023-07-24,台南市,東區,9
2023-07-24,台南市,歸仁區,1
2023-07-24,台南市,永康區,12
2023-07-24,台南市,關廟區,1
2023-07-24,雲林縣,古坑鄉,5
2023-07-25,台南市,仁德區,3
2023-07-25,台南市,北區,5
2023-07-25,台南市,南區,1
2023-07-25,台南市,安南區,1
2023-07-25,台南市,東區,2
2023-07-25,台南市,永康區,9
2023-07-25,雲林縣,古坑鄉,4
2023-07-25,雲林縣,斗六市,1
2023-07-25,高雄市,路竹區,1
2023-07-26,台南市,仁德區,1
2023-07-26,台南市,南區,1
2023-07-26,台南市,安南區,1
2023-07-26,台南市,東區,5
2023-07-26,台南市,永康區,11
2023-07-26,屏東縣,萬丹鄉,1
2023-07-26,雲林縣,古坑鄉,6
2023-07-26,高雄市,三民區,1
2023-07-26,高雄市,前金區,1
2023-07-26,高雄市,旗津區,1
2023-07-27,台南市,仁德區,2
2023-07-27,台南市,北區,1
2023-07-27,台南市,左鎮區,1
2023-07-27,台南市,東區,5
2023-07-27,台南市,永康區,10
2023-07-27,雲林縣,古坑鄉,5
2023-07-27,高雄市,小港區,1
2023-07-27,高雄市,左營區,1
2023-07-28,台中市,烏日區,1
2023-07-28,台南市,七股區,1
2023-07-28,台南市,中西區,2
2023-07-28,台南市,仁德區,2
2023-07-28,台南市,南區,1
2023-07-28,台南市,安南區,1
2023-07-28,台南市,東區,5
2023-07-28,台南市,楠西區,1
2023-07-28,台南市,永康區,6
2023-07-28,台南市,關廟區,1
2023-07-28,苗栗縣,頭份市,1
2023-07-28,雲林縣,古坑鄉,5
2023-07-28,高雄市,旗津區,1
2023-07-28,高雄市,苓雅區,1
2023-07-29,台南市,中西區,1
2023-07-29,台南市,仁德區,1
2023-07-29,台南市,北區,2
2023-07-29,台南市,南區,3
2023-07-29,台南市,安南區,3
2023-07-29,台南市,東區,6
2023-07-29,台南市,永康區,12
2023-07-29,屏東縣,萬丹鄉,2
2023-07-29,雲林縣,古坑鄉,3
2023-07-30,台北市,大同區,1
2023-07-30,台南市,東區,6
2023-07-30,台南市,永康區,12
2023-07-30,嘉義縣,竹崎鄉,1
2023-07-30,雲林縣,古坑鄉,2
2023-07-31,台南市,仁德區,7
2023-07-31,台南市,北區,1
2023-07-31,台南市,安南區,3
2023-07-31,台南市,安平區,1
2023-07-31,台南市,東區,10
2023-07-31,台南市,永康區,12
2023-07-31,雲林縣,古坑鄉,4
2023-07-31,雲林縣,斗六市,1
2023-07-31,雲林縣,莿桐鄉,1
2023-07-31,高雄市,鳳山區,1
2023-08-01,台南市,中西區,2
2023-08-01,台南市,仁德區,2
2023-08-01,台南市,北區,2
2023-08-01,台南市,南區,5
2023-08-01,台南市,安南區,3
2023-08-01,台南市,安平區,1
2023-08-01,台南市,東區,11
2023-08-01,台南市,永康區,14
2023-08-01,台南市,關廟區,1
2023-08-01,雲林縣,古坑鄉,1
2023-08-01,雲林縣,斗六市,1
2023-08-02,台南市,中西區,1
2023-08-02,台南市,仁德區,2
2023-08-02,台南市,北區,4
2023-08-02,台南市,南區,3
2023-08-02,台南市,安南區,6
2023-08-02,台南市,東區,8
2023-08-02,台南市,歸仁區,1
2023-08-02,台南市,永康區,11
2023-08-02,台南市,關廟區,1
2023-08-02,嘉義縣,梅山鄉,1
2023-08-02,嘉義縣,竹崎鄉,1
2023-08-02,雲林縣,古坑鄉,2
