發病日,居住縣市,居住鄉鎮,確定病例數
2013-10-17,屏東縣,屏東市,3
2013-10-17,屏東縣,里港鄉,1
2013-10-18,屏東縣,屏東市,3
2013-10-18,屏東縣,潮州鎮,1
2013-10-18,屏東縣,萬丹鄉,1
2013-10-19,屏東縣,屏東市,2
2013-10-19,屏東縣,萬丹鄉,1
2013-10-19,屏東縣,長治鄉,1
2013-10-21,屏東縣,屏東市,4
2013-10-22,台南市,北區,1
2013-10-22,屏東縣,屏東市,3
2013-10-22,屏東縣,新埤鄉,1
2013-10-22,屏東縣,萬丹鄉,1
2013-10-23,屏東縣,屏東市,1
2013-10-23,屏東縣,萬丹鄉,3
2013-10-24,屏東縣,屏東市,1
2013-10-24,屏東縣,新園鄉,1
2013-10-24,屏東縣,萬丹鄉,1
2013-10-24,屏東縣,長治鄉,1
2013-10-26,屏東縣,屏東市,2
2013-10-26,屏東縣,新園鄉,1
2013-10-26,屏東縣,萬丹鄉,2
2013-10-27,屏東縣,屏東市,4
2013-10-28,屏東縣,萬丹鄉,3
2013-10-28,高雄市,三民區,1
2013-10-28,高雄市,鳳山區,1
2013-10-29,高雄市,鳳山區,2
2013-10-31,屏東縣,潮州鎮,1
2013-10-31,屏東縣,萬丹鄉,2
2013-10-31,高雄市,鳳山區,1
2013-11-01,屏東縣,屏東市,1
2013-11-01,高雄市,鳳山區,1
2013-11-02,屏東縣,屏東市,2
2013-11-02,高雄市,苓雅區,1
2013-11-02,高雄市,鳥松區,1
2013-11-03,屏東縣,屏東市,2
2013-11-03,高雄市,三民區,1
2013-11-03,高雄市,鳳山區,1
2013-11-04,台南市,永康區,1
2013-11-04,屏東縣,屏東市,1
2013-11-04,屏東縣,萬丹鄉,2
2013-11-04,高雄市,三民區,1
2013-11-04,高雄市,鳳山區,1
2013-11-05,屏東縣,屏東市,1
2013-11-05,高雄市,苓雅區,1
2013-11-06,屏東縣,屏東市,2
2013-11-06,屏東縣,潮州鎮,1
2013-11-06,屏東縣,萬丹鄉,1
2013-11-06,高雄市,鳳山區,1
2013-11-07,屏東縣,屏東市,3
2013-11-07,屏東縣,萬丹鄉,2
2013-11-07,屏東縣,長治鄉,1
2013-11-07,屏東縣,鹽埔鄉,1
2013-11-07,高雄市,鳳山區,2
2013-11-08,屏東縣,內埔鄉,1
2013-11-08,屏東縣,萬丹鄉,2
2013-11-08,高雄市,鳳山區,2
2013-11-09,台南市,南區,2
2013-11-09,屏東縣,屏東市,2
2013-11-09,屏東縣,萬丹鄉,4
2013-11-09,高雄市,鳳山區,1
2013-11-10,屏東縣,屏東市,1
2013-11-10,屏東縣,萬丹鄉,1
2013-11-10,高雄市,楠梓區,1
2013-11-10,高雄市,鳳山區,1
2013-11-11,屏東縣,屏東市,8
2013-11-11,屏東縣,萬丹鄉,2
2013-11-11,高雄市,仁武區,1
2013-11-11,高雄市,大寮區,1
2013-11-12,台南市,東區,1
2013-11-12,屏東縣,屏東市,4
2013-11-12,屏東縣,萬丹鄉,2
2013-11-13,嘉義縣,民雄鄉,1
2013-11-13,屏東縣,屏東市,7
2013-11-13,屏東縣,萬丹鄉,1
2013-11-14,台南市,北區,1
2013-11-14,屏東縣,屏東市,1
2013-11-14,高雄市,鳳山區,1
2013-11-15,屏東縣,九如鄉,1
2013-11-15,屏東縣,屏東市,4
2013-11-15,屏東縣,萬丹鄉,1
2013-11-15,高雄市,楠梓區,1
2013-11-16,屏東縣,屏東市,1
2013-11-16,屏東縣,潮州鎮,1
2013-11-17,屏東縣,屏東市,5
2013-11-17,高雄市,鳳山區,1
2013-11-18,台南市,中西區,1
2013-11-18,台南市,南區,1
2013-11-18,屏東縣,南州鄉,1
2013-11-18,屏東縣,屏東市,6
2013-11-18,屏東縣,萬丹鄉,1
2013-11-19,高雄市,鳳山區,2
2013-11-21,台南市,安平區,1
2013-11-21,屏東縣,屏東市,3
2013-11-22,屏東縣,屏東市,2
2013-11-22,屏東縣,萬丹鄉,2
2013-11-22,高雄市,苓雅區,1
2013-11-23,台南市,東區,1
2013-11-23,台南市,歸仁區,1
2013-11-23,屏東縣,屏東市,2
2013-11-23,屏東縣,萬丹鄉,1
2013-11-23,高雄市,鳳山區,1
2013-11-24,台南市,北區,1
2013-11-24,台南市,安平區,2
2013-11-24,屏東縣,屏東市,2
2013-11-24,屏東縣,萬丹鄉,2
2013-11-24,屏東縣,麟洛鄉,1
2013-11-25,台南市,中西區,2
2013-11-25,台南市,永康區,1
2013-11-25,屏東縣,屏東市,10
2013-11-25,屏東縣,萬丹鄉,2
2013-11-25,高雄市,三民區,1
2013-11-26,台南市,中西區,2
2013-11-26,屏東縣,屏東市,2
2013-11-26,屏東縣,東港鎮,1
2013-11-26,屏東縣,潮州鎮,1
2013-11-27,台北市,信義區,1
2013-11-27,屏東縣,內埔鄉,1
2013-11-27,屏東縣,萬丹鄉,1
2013-11-28,屏東縣,屏東市,3
2013-11-28,高雄市,鳳山區,1
2013-11-29,台南市,安平區,1
2013-11-29,屏東縣,屏東市,11
2013-11-29,屏東縣,萬丹鄉,1
2013-11-29,屏東縣,長治鄉,1
2013-11-29,高雄市,苓雅區,1
2013-11-29,高雄市,鳳山區,1
2013-11-30,台南市,南區,1
2013-11-30,台南市,安平區,1
2013-11-30,屏東縣,屏東市,6
2013-11-30,屏東縣,萬丹鄉,3
2013-11-30,高雄市,三民區,2
2013-11-30,高雄市,前鎮區,1
2013-12-01,屏東縣,屏東市,4
2013-12-01,屏東縣,萬丹鄉,3
2013-12-01,高雄市,苓雅區,1
2013-12-01,高雄市,鳳山區,1
2013-12-02,屏東縣,屏東市,3
2013-12-02,屏東縣,東港鎮,1
2013-12-02,屏東縣,萬丹鄉,4
2013-12-02,高雄市,三民區,2
2013-12-02,高雄市,鳳山區,1
2013-12-03,屏東縣,屏東市,5
2013-12-03,屏東縣,萬丹鄉,2
2013-12-04,屏東縣,屏東市,5
2013-12-04,屏東縣,里港鄉,1
2013-12-04,高雄市,三民區,1
2013-12-04,高雄市,前鎮區,1
2013-12-04,高雄市,鳳山區,1
2013-12-05,屏東縣,屏東市,6
2013-12-05,桃園市,大園區,1
2013-12-05,高雄市,苓雅區,1
2013-12-06,屏東縣,屏東市,4
2013-12-06,屏東縣,萬丹鄉,2
2013-12-06,高雄市,燕巢區,1
2013-12-06,高雄市,苓雅區,2
2013-12-07,台南市,南區,1
2013-12-07,屏東縣,屏東市,3
2013-12-07,屏東縣,萬丹鄉,1
2013-12-07,高雄市,小港區,1
2013-12-08,屏東縣,九如鄉,1
2013-12-08,屏東縣,屏東市,1
2013-12-08,屏東縣,萬丹鄉,1
2013-12-09,台南市,中西區,1
2013-12-09,屏東縣,屏東市,5
2013-12-09,屏東縣,萬丹鄉,4
2013-12-09,高雄市,旗津區,1
2013-12-09,高雄市,苓雅區,2
2013-12-10,台南市,東區,1
2013-12-10,屏東縣,屏東市,5
2013-12-10,屏東縣,長治鄉,1
2013-12-10,高雄市,三民區,2
2013-12-11,屏東縣,屏東市,3
2013-12-11,屏東縣,萬丹鄉,1
2013-12-12,屏東縣,屏東市,3
2013-12-12,屏東縣,萬丹鄉,2
2013-12-12,高雄市,三民區,1
2013-12-13,台南市,中西區,1
2013-12-13,屏東縣,屏東市,5
2013-12-13,屏東縣,萬丹鄉,1
2013-12-13,高雄市,三民區,1
2013-12-14,台南市,中西區,1
2013-12-14,屏東縣,屏東市,4
2013-12-14,屏東縣,竹田鄉,1
2013-12-14,屏東縣,萬丹鄉,3
2013-12-15,台南市,中西區,1
2013-12-15,屏東縣,屏東市,5
2013-12-15,屏東縣,萬丹鄉,1
2013-12-16,屏東縣,屏東市,2
2013-12-16,屏東縣,萬丹鄉,1
2013-12-16,高雄市,鼓山區,1
2013-12-17,屏東縣,屏東市,2
2013-12-17,屏東縣,萬丹鄉,2
2013-12-18,屏東縣,屏東市,4
2013-12-18,屏東縣,萬丹鄉,4
2013-12-19,屏東縣,屏東市,1
2013-12-19,屏東縣,萬丹鄉,1
2013-12-20,屏東縣,屏東市,3
2013-12-21,屏東縣,屏東市,1
2013-12-21,屏東縣,鹽埔鄉,1
2013-12-22,屏東縣,屏東市,1
2013-12-23,屏東縣,屏東市,3
2013-12-24,屏東縣,屏東市,1
2013-12-25,屏東縣,屏東市,2
2013-12-25,屏東縣,萬丹鄉,2
2013-12-26,屏東縣,屏東市,1
2013-12-28,屏東縣,屏東市,2
2013-12-30,屏東縣,屏東市,1
2014-01-02,屏東縣,屏東市,1
2014-01-04,屏東縣,屏東市,1
2014-01-05,屏東縣,萬丹鄉,1
2014-01-06,屏東縣,萬丹鄉,1
2014-01-09,屏東縣,屏東市,1
2014-01-10,屏東縣,萬丹鄉,1
2014-01-13,屏東縣,萬丹鄉,1
2014-01-15,高雄市,鳳山區,1
2014-01-22,台南市,北區,2
2014-01-26,屏東縣,屏東市,1
2014-01-27,台南市,北區,1
2014-02-01,屏東縣,屏東市,1
2014-02-06,台南市,北區,1
2014-05-13,高雄市,前鎮區,2
2014-05-20,高雄市,前鎮區,1
2014-05-22,高雄市,前鎮區,1
2014-05-22,高雄市,小港區,1
2014-05-23,高雄市,前鎮區,1
2014-05-24,高雄市,前鎮區,1
2014-05-25,高雄市,前鎮區,1
2014-05-26,高雄市,前鎮區,1
2014-05-28,高雄市,旗津區,1
2014-05-29,高雄市,林園區,1
2014-05-31,高雄市,前鎮區,1
2014-06-01,高雄市,前鎮區,1
2014-06-05,高雄市,前鎮區,1
2014-06-05,高雄市,小港區,1
2014-06-06,高雄市,大寮區,1
2014-06-06,高雄市,小港區,1
2014-06-06,高雄市,鳳山區,1
2014-06-07,高雄市,前鎮區,2
2014-06-08,高雄市,前鎮區,2
2014-06-08,高雄市,小港區,1
2014-06-09,高雄市,前鎮區,3
2014-06-09,高雄市,小港區,4
2014-06-09,高雄市,鳳山區,1
2014-06-10,高雄市,前鎮區,1
2014-06-11,高雄市,前鎮區,3
2014-06-11,高雄市,左營區,1
2014-06-12,高雄市,前鎮區,3
2014-06-12,高雄市,小港區,1
2014-06-13,高雄市,前鎮區,1
2014-06-13,高雄市,小港區,1
2014-06-13,高雄市,鼓山區,1
2014-06-14,嘉義市,西區,1
2014-06-14,高雄市,前鎮區,1
2014-06-14,高雄市,小港區,1
2014-06-14,高雄市,林園區,1
2014-06-15,高雄市,大寮區,1
2014-06-15,高雄市,鳳山區,1
2014-06-16,高雄市,三民區,1
2014-06-16,高雄市,前鎮區,2
2014-06-17,高雄市,前鎮區,2
2014-06-17,高雄市,鳳山區,1
2014-06-19,高雄市,大寮區,1
