max_depth,min_samples_split,min_samples_leaf,elapsed_time,train_accuracy,test_accuracy,train_f1,test_f1,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std
9,7,4,25.690667867660522,0.960004937662017,0.9422507403751234,0.864321608040201,0.7921847246891652,0.9376208939764356,0.005252219938909536,0.7788379758334275,0.021748267475793594
9,8,4,26.698228120803833,0.960004937662017,0.9422507403751234,0.864321608040201,0.7921847246891652,0.9374728727630914,0.005784014956316041,0.7777465559519005,0.021582935292439803
9,9,4,26.20735812187195,0.9581533144056289,0.9402764067127345,0.8569016462642465,0.7873462214411248,0.9369049842220041,0.004895234580840048,0.7783428971429077,0.021260433773722432
9,10,4,26.120239973068237,0.9593877299098876,0.9407699901283317,0.8617065994115174,0.7872340425531915,0.9373286545164674,0.005411312332851489,0.7768813825362183,0.0198269483201972
9,2,5,25.927904844284058,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9367937944113144,0.005025536513893082,0.7751410700080196,0.023146258506716557
9,3,5,26.100624799728394,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9365840016450749,0.004880794844829409,0.7742816818147935,0.020620980058650384
9,4,5,26.1402804851532,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9365592798226976,0.005117344479069786,0.7761152715383848,0.020679948687379365
9,5,5,26.183412551879883,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9365963650949597,0.004937112696239642,0.7752444054701171,0.020816341843865382
9,6,5,26.096023321151733,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9364895519963036,0.005463628325581615,0.7747567193496235,0.02249417449111042
9,7,5,26.340961933135986,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9364853225286428,0.004973659863354018,0.7751270995767312,0.021089856763028172
9,8,5,26.83148956298828,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9367321701027916,0.005728092432454589,0.7734702085870011,0.019860653887892717
9,9,5,26.338971853256226,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9366827163032523,0.005164391849811415,0.7761521393651052,0.02087347286059303
9,10,5,26.52849555015564,0.9571657820022219,0.9358341559723593,0.8538947368421053,0.7695035460992907,0.9366292513639144,0.005225209435695787,0.7744238893664855,0.022688894107879654
10,2,1,28.154860496520996,0.9788914948771756,0.9417571569595261,0.930685042561816,0.7951388888888888,0.9435543445975277,0.005045814196996606,0.804045592258099,0.017326179118071824
10,3,1,28.31894016265869,0.978521170225898,0.9417571569595261,0.9294975688816856,0.7951388888888888,0.9434679629248826,0.005184381414158101,0.8026248131994235,0.019042256079900694
10,4,1,27.920531272888184,0.9770398716207875,0.9461994076999013,0.9244516653127539,0.8136752136752137,0.9434598644844034,0.005458266390664604,0.8043003915067906,0.0187463327551595
10,5,1,28.03662610054016,0.9760523392173805,0.9432379072063178,0.9209453952730237,0.8006932409012132,0.9433074437107614,0.004831555765141418,0.8033750842349705,0.020509123777397095
10,6,1,27.94051241874695,0.9739538328601407,0.9437314906219151,0.9135600163867268,0.7992957746478874,0.943406115211105,0.004834801811914077,0.8019390914658224,0.018316365187490344
10,7,1,27.743520975112915,0.9739538328601407,0.9442250740375123,0.9136307818256242,0.8034782608695652,0.9432290843177126,0.00504895050223425,0.803630308729991,0.02036937885649136
10,8,1,28.20693039894104,0.9732131835575855,0.9437314906219151,0.9113199836534532,0.8013937282229965,0.9428876119247631,0.005400243396536905,0.8021736876056063,0.019519467419969887
10,9,1,28.25813627243042,0.972719417355882,0.9437314906219151,0.9096853289742541,0.8047945205479452,0.9430523758387217,0.004838884756099656,0.8010167621890019,0.01977969339951171
10,10,1,28.124329805374146,0.9713615603011974,0.9437314906219151,0.9046836483155299,0.8013937282229965,0.9425873730334626,0.005080801277202934,0.799877864179334,0.019096919475834934
10,2,2,28.505513668060303,0.9766695469695099,0.9432379072063178,0.9234507897934386,0.8006932409012132,0.9426039177157827,0.004607715565932306,0.800796669273785,0.018672692808305198
10,3,2,28.312917470932007,0.9766695469695099,0.9432379072063178,0.9234507897934386,0.8006932409012132,0.942846708453604,0.00493082505158859,0.8004005894145123,0.01610545247228768
10,4,2,28.09540581703186,0.9766695469695099,0.9432379072063178,0.9234507897934386,0.8006932409012132,0.9429206835185312,0.005235859364987383,0.8011538267248048,0.019417473117876814
10,5,2,28.469369888305664,0.9738303913097148,0.9452122408687068,0.9133986928104575,0.8089500860585198,0.942710867904027,0.004963157218287642,0.8013177712693348,0.01893637985213765
10,6,2,28.214486360549927,0.973706949759289,0.9471865745310958,0.912883435582822,0.8164665523156089,0.9428712551059524,0.004473140593994123,0.7995431457865289,0.02137878565128476
10,7,2,28.272720098495483,0.9713615603011974,0.9402764067127345,0.9042904290429042,0.7888307155322862,0.9423857624846725,0.004443265288921431,0.7998876943768222,0.017668412178622382
10,8,2,27.717209815979004,0.9722256511541785,0.941263573543929,0.9078246620237608,0.7930434782608695,0.9426203430793874,0.004766709477742068,0.7988695582675259,0.020435772806640464
10,9,2,27.693959951400757,0.9700037032465127,0.9442250740375123,0.900041135335253,0.8048359240069085,0.9421224362343014,0.0054714244761904255,0.7982012510051637,0.02048349756974522
10,10,2,27.462010622024536,0.9713615603011974,0.9432379072063178,0.9043693322341303,0.7985989492119089,0.9419413485045811,0.004881989440309998,0.7975506169528052,0.019917536530958832
10,2,3,27.373472452163696,0.9712381187507715,0.9442250740375123,0.9043121149897331,0.804159445407279,0.942077095122403,0.004970013620894361,0.7970804139101332,0.019179342958985338
10,3,3,28.17159128189087,0.9712381187507715,0.9442250740375123,0.9043121149897331,0.804159445407279,0.9419246768874572,0.005102428286709524,0.7958117451768584,0.0179946279395847
10,4,3,27.671154499053955,0.9712381187507715,0.9442250740375123,0.9043121149897331,0.804159445407279,0.9418837886484743,0.004919210468814525,0.7970422403226093,0.01854406687858802
10,5,3,27.534801244735718,0.9712381187507715,0.9442250740375123,0.9043121149897331,0.804159445407279,0.941850676435569,0.004910482586128877,0.7957792151295642,0.01842217423804543
10,6,3,27.007222175598145,0.9712381187507715,0.9442250740375123,0.9043121149897331,0.804159445407279,0.9420196266593552,0.0051998734239433915,0.7965593705466096,0.019421399691390284
